,IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.DistanceUnit,UsageCost,AddressInfo.ContactTelephone1,AddressInfo.ContactEmail,AddressInfo.AccessComments,AddressInfo.RelatedURL,AddressInfo.ContactTelephone2,GeneralComments,AddressInfo.AddressLine2,OperatorsReference,DataProvidersReference,ID,ConnectionTypeID,StatusTypeID,LevelID,Amps,Voltage,PowerKW,CurrentTypeID,Quantity,Reference,Comments,Kleur,Inwoners gemeente,Gemeente,Radius
0,True,2023-10-09T02:47:00Z,278546,2C8BA0B2-215D-4562-958E-16EADBA8246A,1,103.0,4.0,"[{'ID': 481502, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11.0, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2023-10-09T02:47:00Z,1,2023-10-01T08:01:00Z,200,278933,Emmerhoutstraat,Emmerhoutstraat 1,Emmen,Drenthe,7814XV,159,52.816950648536505,6.918983149911014,0,,,,,,,,,,,481502.0,25.0,50.0,2.0,16.0,400.0,11.0,20.0,2.0,,,red,108765,Emmen,3912.410071942446
1,True,2023-09-06T03:31:00Z,274104,E2271DB6-74AC-497D-970E-C08AD6436D3C,1,3387.0,1.0,"[{'ID': 474879, 'ConnectionTypeID': 33, 'Reference': 'NL*LMS*E1895770*1', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 90, 'PowerKW': 60.0, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 474889, 'ConnectionTypeID': 2, 'Reference': 'NL*LMS*E1895770*3', 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 501.0, 'CurrentTypeID': 30, 'Quantity': 1}]",1.0,50,2023-09-06T03:31:00Z,1,2023-09-01T10:38:00Z,200,274488,Boerderijwinkel Lagerweij,Rijksstraatweg 61c,Buurmalsen,Gelderland,4197RL,159,51.91593988845722,5.276771337816967,0,"€0,47/kWh",0615486543,info@lagerweijeieren.nl,oplaadpunt,https://www.boerderijwinkellagerweij.nl,,,,,,474879.0,33.0,50.0,3.0,90.0,,60.0,30.0,1.0,NL*LMS*E1895770*1,,darkblue,27725,Buren,997.3021582733812
2,True,2023-09-06T03:31:00Z,273936,478EBD74-9B6B-4901-A53E-DE2FB4151842,1,103.0,1.0,"[{'ID': 474189, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 150.0, 'CurrentTypeID': 30, 'Quantity': 4}]",4.0,50,2023-09-06T03:31:00Z,1,2023-08-25T11:05:00Z,200,274320,Van der Valk Larserplein Lelystad,Larserplein 1,City,Flevoland,8226PB,159,52.48266239886473,5.504657788635541,0,,,,,,,,,,,474189.0,33.0,50.0,3.0,,,150.0,30.0,4.0,,,aqua,83033,Lelystad,597.3597122302158
3,True,2023-09-06T03:31:00Z,273927,E0081CC8-8023-4E25-AE12-A52E2D488AC0,1,3632.0,1.0,"[{'ID': 474177, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 88.0, 'CurrentTypeID': 30, 'Quantity': 2}]",4.0,50,2023-09-06T03:31:00Z,1,2023-08-25T08:40:00Z,200,274311,KFC Larserplein Lelystad,Larserplein 20,City,Flevoland,8226PB,159,52.48275573026649,5.505836542592618,0,,,,,,,,,,,474177.0,33.0,50.0,3.0,,,88.0,30.0,2.0,,,aqua,83033,Lelystad,597.3597122302158
4,True,2023-04-26T10:04:00Z,260616,C26B4CFA-2E37-428E-A744-59F4B824E1E4,1,3504.0,1.0,"[{'ID': 438684, 'ConnectionTypeID': 33, 'Reference': 'LEAP24', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 273, 'Voltage': 440, 'PowerKW': 120.0, 'CurrentTypeID': 30, 'Quantity': 4}]",4.0,50,2023-04-26T10:04:00Z,1,2023-04-26T09:51:00Z,200,261000,LEAP24 Fastcharging station,Kleveringweg 9A,Delft,Zuid-Holland,2616LZ,159,52.02587329680358,4.363657738411348,0,0.59 per kWH, 0800 2600005,,,http://leap24.eu,085 073 6070,,,,,438684.0,33.0,50.0,3.0,273.0,440.0,120.0,30.0,4.0,LEAP24,,maroon,106086,Delft,1526.4172661870505
5,True,2023-04-26T10:05:00Z,260615,A5C3ECBB-5580-426B-B7EA-F937E29DC407,1,3504.0,1.0,"[{'ID': 438683, 'ConnectionTypeID': 33, 'Reference': 'LEAP24', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 167, 'Voltage': 900, 'PowerKW': 160.0, 'CurrentTypeID': 30, 'Quantity': 6}]",6.0,50,2023-04-26T10:05:00Z,1,2023-04-26T09:48:00Z,200,260999,LEAP24 Fast Charging Station,Graham Bellstraat 43,Zwolle,Overijssel,8013PL,159,52.48467601267876,6.131613538762423,0,0.59 per kwh,0800-2500005,,,http://leap24.eu,0850736070,,,,,438683.0,33.0,50.0,3.0,167.0,900.0,160.0,30.0,6.0,LEAP24,,yellow,132411,Zwolle,793.8309352517986
6,True,2023-04-26T10:05:00Z,260614,97CC7F48-4C1E-4B2C-8F64-674E28AC0FC9,1,3504.0,1.0,"[{'ID': 438682, 'ConnectionTypeID': 33, 'Reference': 'LEAP24', 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 250, 'PowerKW': 160.0, 'CurrentTypeID': 30, 'Quantity': 6}]",6.0,50,2023-04-26T10:05:00Z,1,2023-04-26T09:41:00Z,200,260998,Eeser Veld,Eeser Veld,Steenwijk,Overijssel,8347JD,159,52.804779000051155,6.133885326612699,0,0.59 ct per kwh, 0800-2600005,,,,0850736070,,,,,438682.0,33.0,50.0,3.0,250.0,,160.0,30.0,6.0,LEAP24,,yellow,45376,Steenwijkerland,1088.1534772182254
7,True,2023-04-22T18:47:00Z,260350,C0980657-1FE9-41D6-BE51-1C3108A1CFE8,1,1.0,4.0,"[{'ID': 437969, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10, 'Quantity': 2}]",1.0,50,2023-04-22T18:47:00Z,1,2023-04-21T13:57:00Z,200,260734,Berliozstraat,Berliozstraat,Capelle aan den IJssel,Zuid-Holland,2901GA,159,51.91689902158163,4.56201683552149,0,,,,,,,,,,,437969.0,25.0,50.0,2.0,,,11.0,10.0,2.0,,,maroon,67552,Capelle aan den IJssel,1214.9640287769785
8,True,2023-04-22T18:47:00Z,260348,D2769DA9-7D64-4719-8460-BDDC6272D6CB,1,1.0,4.0,"[{'ID': 437965, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10, 'Quantity': 2}]",1.0,50,2023-04-22T18:47:00Z,1,2023-04-21T13:49:00Z,200,260732,Puccinistraat,Puccinistraat,Capelle aan den IJssel,Zuid-Holland,2901GL,159,51.91759733356153,4.56515469493084,0,,,,,,,,,,,437965.0,25.0,50.0,2.0,,,11.0,10.0,2.0,,,maroon,67552,Capelle aan den IJssel,1214.9640287769785
9,True,2023-04-21T08:52:00Z,260327,432BB27C-C647-46E1-8AB5-5800CA889A84,1,3387.0,4.0,"[{'ID': 437916, 'ConnectionTypeID': 25, 'Reference': 'SGZH1-03594', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11.0, 'CurrentTypeID': 20, 'Quantity': 2}]",2.0,50,2023-04-21T08:52:00Z,1,2023-04-20T21:19:00Z,200,260711,Castellum,Rossinistraat 112,Capelle aan den Ijssel,Zuid-Holland,2901GJ,159,51.9168755697022,4.565175905029946,0,,,,,,,,,,,437916.0,25.0,50.0,2.0,16.0,400.0,11.0,20.0,2.0,SGZH1-03594,,maroon,67552,Capelle aan den IJssel,1214.9640287769785
